"","OBJECTID","SUBZONE_NO","SUBZONE_N","SUBZONE_C","CA_IND","PLN_AREA_N","PLN_AREA_C","REGION_N","REGION_C","INC_CRC","FMEL_UPD_D","X_ADDR","Y_ADDR","SHAPE_Leng","SHAPE_Area"
"0",1,1,"MARINA SOUTH","MSSZ01","Y","MARINA SOUTH","MS","CENTRAL REGION","CR","5ED7EB253F99252E","2014/12/05",31595.8357,29220.1873,5267.3810236,1630379.268
"1",2,1,"PEARL'S HILL","OTSZ01","Y","OUTRAM","OT","CENTRAL REGION","CR","8C7149B9EB32EEFC","2014/12/05",28679.0634,29782.0519,3506.1073755,559816.245449
"2",3,3,"BOAT QUAY","SRSZ03","Y","SINGAPORE RIVER","SR","CENTRAL REGION","CR","C35FEFF02B13E0E5","2014/12/05",29654.9594,29974.6553,1740.92576616,160807.497729
"3",4,8,"HENDERSON HILL","BMSZ08","N","BUKIT MERAH","BM","CENTRAL REGION","CR","3775D82C5DDBEFBD","2014/12/05",26782.8261,29933.7651,3313.62490378,595428.885968
"4",5,3,"REDHILL","BMSZ03","N","BUKIT MERAH","BM","CENTRAL REGION","CR","85D9ABEF0A40678F","2014/12/05",26201.958,30005.7035,2825.59409872,387429.439964
"5",6,7,"ALEXANDRA HILL","BMSZ07","N","BUKIT MERAH","BM","CENTRAL REGION","CR","9D286521EF5E3B59","2014/12/05",25358.8208,29991.3842,4428.91343557,1030378.78603
"6",7,9,"BUKIT HO SWEE","BMSZ09","N","BUKIT MERAH","BM","CENTRAL REGION","CR","7839A8577144EFE2","2014/12/05",27680.0627,30230.861,3275.31248846,551732.049494
"7",8,2,"CLARKE QUAY","SRSZ02","Y","SINGAPORE RIVER","SR","CENTRAL REGION","CR","48661DC0FBA09F7A","2014/12/05",29253.2073,30222.8645,2208.61929874,290184.652686
"8",9,13,"PASIR PANJANG 1","QTSZ13","N","QUEENSTOWN","QT","CENTRAL REGION","CR","1F721290C421BFAB","2014/12/05",22077.3383,29893.7812,6571.32308202,1084792.32059
"9",10,7,"QUEENSWAY","QTSZ07","N","QUEENSTOWN","QT","CENTRAL REGION","CR","3580D2AFFBEE914C","2014/12/05",24168.3106,30104.1768,3454.23928341,631644.289298
"10",11,12,"KENT RIDGE","QTSZ12","N","QUEENSTOWN","QT","CENTRAL REGION","CR","601BA309A1AAC731","2014/12/05",23464.8409,29725.3706,7439.5476563,1826848.56058
"11",12,6,"ALEXANDRA NORTH","BMSZ06","N","BUKIT MERAH","BM","CENTRAL REGION","CR","4DC4BF8D86594CBF","2014/12/05",26548.2507,30519.3922,2907.05146074,293706.398804
"12",13,1,"MARINA EAST","MESZ01","Y","MARINA EAST","ME","CENTRAL REGION","CR","782A2FAF53029A34","2014/12/05",32344.0489,30103.2495,6470.94964274,1844060.67468
"13",14,5,"INSTITUTION HILL","RVSZ05","Y","RIVER VALLEY","RV","CENTRAL REGION","CR","C3C22D1EE31757BD","2014/12/05",28465.3999,30711.2179,2842.52550488,392563.33976
"14",15,1,"ROBERTSON QUAY","SRSZ01","Y","SINGAPORE RIVER","SR","CENTRAL REGION","CR","DF71BB5EC3C9FFD1","2014/12/05",28416.8477,30409.3607,4995.75811436,506588.959751
